tanggal,TAVG,RH_AVG,RR,FF_AVG,sumber_file
2024-10-28,27.5,80.0,3.5,2.0,bmkg_2024_10.xlsx
2024-10-29,27.2,83.0,13.3,2.0,bmkg_2024_10.xlsx
2024-10-30,27.2,82.0,11.5,2.0,bmkg_2024_10.xlsx
2024-10-31,26.2,85.0,10.2,3.0,bmkg_2024_10.xlsx
2024-11-01,27.1,80.0,17.0,2.0,bmkg_2024_10.xlsx
2024-11-02,27.0,82.0,0.0,2.0,bmkg_2024_10.xlsx
2024-11-03,26.2,83.0,34.4,2.0,bmkg_2024_10.xlsx
2024-11-04,26.4,82.0,29.2,2.0,bmkg_2024_10.xlsx
2024-11-05,26.4,86.0,7.6,3.0,bmkg_2024_10.xlsx
2024-11-06,26.7,80.0,60.5,2.0,bmkg_2024_10.xlsx
2024-11-07,26.1,84.0,0.0,2.0,bmkg_2024_11.xlsx
2024-11-08,27.8,80.0,70.6,3.0,bmkg_2024_11.xlsx
2024-11-09,26.9,84.0,54.233333333333334,3.0,bmkg_2024_11.xlsx
2024-11-10,26.4,84.0,37.86666666666667,1.0,bmkg_2024_11.xlsx
2024-11-11,25.4,90.0,21.5,3.0,bmkg_2024_11.xlsx
2024-11-12,26.4,86.0,86.7,3.0,bmkg_2024_11.xlsx
2024-11-13,27.8,77.0,0.1,3.0,bmkg_2024_11.xlsx
2024-11-14,27.5,84.0,0.0,2.0,bmkg_2024_11.xlsx
2024-11-15,27.5,84.0,59.6,2.0,bmkg_2024_11.xlsx
2024-11-16,26.0,93.0,10.4,2.0,bmkg_2024_11.xlsx
2024-11-17,26.4,87.0,14.7,2.0,bmkg_2024_11.xlsx
2024-11-18,26.1,89.0,14.7,2.0,bmkg_2024_11.xlsx
2024-11-19,26.7,83.0,14.4,3.0,bmkg_2024_11.xlsx
2024-11-20,26.6,83.0,59.7,2.0,bmkg_2024_11.xlsx
2024-11-21,27.1,85.0,24.1,2.0,bmkg_2024_11.xlsx
