tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2019-09-14,34.7,21.5,0.1,22.7,77
2019-09-15,33.8,22.6,1.6,20.9,92
2019-09-16,34.5,22.4,2.8,18.9,97
2019-09-17,35.6,22.0,0.6,14.4,97
2019-09-18,36.3,23.4,0.6,18.4,92
2019-09-19,35.9,24.4,0.4,20.7,91
2019-09-20,35.5,24.6,0.0,21.6,82
2019-09-21,35.8,23.5,0.0,19.9,80
2019-09-22,35.8,23.6,0.0,20.6,80
2019-09-23,35.2,22.9,0.3,21.1,80
2019-09-24,37.2,22.6,0.0,20.5,88
2019-09-25,36.2,24.0,1.2,16.5,85
2019-09-26,35.2,24.0,0.8,11.0,95
2019-09-27,36.5,23.9,0.0,19.2,84
2019-09-28,35.5,24.4,2.1,14.0,94
2019-09-29,34.1,23.7,5.0,14.4,96
2019-09-30,34.3,23.5,1.8,15.7,93
2019-10-01,36.3,21.3,1.3,20.2,97
2019-10-02,34.8,23.3,2.1,16.5,99
2019-10-03,34.7,23.1,2.1,18.0,92
2019-10-04,35.5,23.6,0.4,15.4,94
2019-10-05,36.3,22.8,0.0,22.7,83
2019-10-06,36.7,23.5,0.1,21.1,77
2019-10-07,35.9,23.9,0.4,16.3,77
2019-10-08,36.7,24.3,7.0,19.7,93
2019-10-09,33.9,23.5,0.8,14.2,97
2019-10-10,32.0,24.1,14.2,11.9,99
2019-10-11,32.3,24.2,3.8,9.5,94
2019-10-12,32.9,22.1,0.6,9.6,94
2019-10-13,33.8,22.4,0.4,11.9,92
2019-10-14,35.0,23.8,0.0,16.3,94
2019-10-15,34.7,24.4,0.9,12.9,90
2019-10-16,34.8,23.5,1.6,9.4,93
2019-10-17,33.2,24.2,3.5,9.5,91
2019-10-18,31.8,24.0,6.4,9.6,97
2019-10-19,33.5,23.2,1.5,11.8,96
2019-10-20,35.2,23.8,0.1,19.2,95
2019-10-21,37.0,21.8,0.0,20.4,94
2019-10-22,38.3,22.9,0.0,24.1,84
2019-10-23,37.8,24.1,0.0,24.3,82
2019-10-24,36.5,24.0,0.4,18.4,84
2019-10-25,36.5,25.0,2.2,18.0,86
2019-10-26,36.0,23.5,0.9,12.3,92
2019-10-27,33.0,24.4,38.2,10.9,94
2019-10-28,31.7,23.6,6.2,10.4,96
2019-10-29,32.1,23.0,0.7,10.5,96
2019-10-30,32.3,22.8,0.3,6.7,93
2019-10-31,32.7,23.4,0.3,7.9,84
2019-11-01,32.3,24.0,3.5,10.5,93
2019-11-02,32.0,24.0,3.9,19.1,92
2019-11-03,32.0,24.2,3.8,9.1,91
2019-11-04,31.6,24.5,1.2,9.2,94
2019-11-05,33.7,24.2,0.7,15.5,93
2019-11-06,34.0,24.0,0.4,16.2,91
2019-11-07,35.8,24.0,0.0,14.8,82
2019-11-08,35.2,23.0,0.7,7.0,89
2019-11-09,36.2,23.7,0.2,13.1,82
2019-11-10,33.8,25.4,7.3,10.4,92
2019-11-11,36.1,24.5,0.6,11.2,95
2019-11-12,34.8,25.2,5.5,16.5,93
2019-11-13,33.1,24.0,19.5,17.1,97
2019-11-14,30.6,24.0,14.8,15.1,98
2019-11-15,33.1,22.9,3.4,12.4,96
2019-11-16,35.0,23.5,0.2,15.5,92
2019-11-17,34.3,24.5,0.2,14.9,87
2019-11-18,36.0,24.3,0.3,16.4,93
2019-11-19,34.4,23.5,10.6,13.9,94
2019-11-20,34.3,23.5,9.6,7.6,95
2019-11-21,32.5,23.7,24.9,10.1,99
2019-11-22,32.0,23.4,25.3,8.4,98
2019-11-23,32.9,23.9,7.3,11.8,96
2019-11-24,32.7,23.0,4.8,9.5,97
2019-11-25,32.5,23.0,6.2,7.4,96
2019-11-26,31.7,23.2,13.7,11.6,96
2019-11-27,32.2,23.5,10.5,12.1,97
2019-11-28,32.8,23.1,5.1,8.9,96
2019-11-29,31.9,23.9,7.3,9.8,96
2019-11-30,32.0,24.0,8.4,7.3,96
2019-12-01,33.1,24.1,2.0,9.8,96
2019-12-02,32.8,23.8,2.6,9.3,96
2019-12-03,32.3,24.4,5.2,12.2,98
2019-12-04,32.2,23.9,3.7,11.5,100
2019-12-05,32.1,23.3,7.0,11.0,99
2019-12-06,29.9,24.0,4.4,11.5,99
2019-12-07,29.1,23.9,76.2,10.5,98
2019-12-08,31.2,23.1,4.1,7.0,98
2019-12-09,31.4,23.9,4.4,10.3,97
2019-12-10,29.5,22.9,9.7,11.6,97
2019-12-11,31.4,23.4,10.6,7.4,96
2019-12-12,29.8,23.0,11.7,11.8,97
2019-12-13,30.6,22.9,2.8,7.6,96
2019-12-14,31.4,23.2,12.1,7.6,97
2019-12-15,31.0,23.2,5.5,8.6,99
2019-12-16,29.2,23.1,13.5,8.8,98
